Skill,Attack_Potential,Defense_Potential,Racket_Price,Racket_Flexibility,Racket_Name
7,1,10,8,2,Li-Ning 3D Calibar 900
4,8,6,9,5,Victor Jetspeed S 12
8,4,7,6,2,Babolat Satelite Gravity 74
5,4,9,5,2,Li-Ning Turbo Charging 75
7,5,1,6,6,Yonex Nanoray Z-Speed
10,8,7,2,10,Victor Thruster K Falcon
3,5,8,4,9,Yonex Nanoray Z-Speed
7,8,3,3,4,Yonex Voltric Z-Force II
8,10,4,7,6,Yonex Nanoray Z-Speed
5,1,10,9,7,Li-Ning Turbo Charging 75
4,10,6,5,6,Li-Ning 3D Calibar 900
8,9,10,6,8,Babolat Satelite Gravity 74
8,6,7,10,4,Yonex Nanoray Z-Speed
3,3,4,2,1,Babolat Satelite Gravity 74
6,8,8,3,7,Yonex Astrox 99
5,9,5,3,3,Victor Jetspeed S 12
2,6,1,9,6,Li-Ning 3D Calibar 900
8,7,4,7,2,Babolat Satelite Gravity 74
6,1,3,8,9,Victor Thruster K Falcon
2,5,9,10,1,Victor Jetspeed S 12
5,5,8,9,6,Yonex Voltric Z-Force II
1,10,1,6,6,Yonex Voltric Z-Force II
10,4,6,4,5,Victor Thruster K Falcon
6,6,9,1,5,Yonex Nanoray Z-Speed
9,7,7,8,1,Victor Jetspeed S 12
1,9,4,7,10,Babolat Satelite Gravity 74
10,1,1,2,5,Victor Jetspeed S 12
3,6,2,8,2,Yonex Nanoray Z-Speed
7,7,5,5,7,Li-Ning Turbo Charging 75
4,3,5,7,3,Li-Ning 3D Calibar 900
9,8,8,4,4,Victor Thruster K Falcon
3,5,6,5,3,Yonex Nanoray Z-Speed
5,9,8,8,3,Li-Ning Turbo Charging 75
3,5,2,1,4,Victor Jetspeed S 12
7,9,3,1,5,Victor Jetspeed S 12
5,10,6,4,1,Yonex Nanoray Z-Speed
9,4,10,3,4,Babolat Satelite Gravity 74
7,9,3,10,8,Victor Jetspeed S 12
2,5,6,2,10,Babolat Satelite Gravity 74
4,10,6,3,7,Babolat Satelite Gravity 74
9,9,2,1,9,Li-Ning 3D Calibar 900
2,3,7,1,5,Babolat Satelite Gravity 74
10,4,2,6,10,Yonex Astrox 99
9,9,6,5,4,Li-Ning 3D Calibar 900
10,10,1,8,8,Li-Ning Turbo Charging 75
5,6,3,2,9,Li-Ning Turbo Charging 75
2,2,2,4,7,Victor Jetspeed S 12
4,7,7,8,7,Victor Jetspeed S 12
7,2,4,6,5,Babolat Satelite Gravity 74
8,2,8,1,4,Li-Ning 3D Calibar 900
3,1,6,4,10,Li-Ning 3D Calibar 900
1,3,10,1,1,Yonex Astrox 99
4,6,4,2,10,Babolat Satelite Gravity 74
2,8,5,5,10,Yonex Astrox 99
8,9,9,8,7,Yonex Voltric Z-Force II
4,7,7,8,1,Babolat Satelite Gravity 74
2,4,10,3,1,Victor Thruster K Falcon
6,6,9,4,5,Victor Thruster K Falcon
6,5,7,10,9,Yonex Nanoray Z-Speed
10,8,1,6,6,Babolat Satelite Gravity 74
4,1,8,10,3,Li-Ning 3D Calibar 900
6,1,4,3,3,Victor Jetspeed S 12
2,6,3,2,7,Li-Ning Turbo Charging 75
10,10,7,6,6,Yonex Nanoray Z-Speed
2,2,3,5,9,Victor Jetspeed S 12
10,5,8,10,6,Victor Thruster K Falcon
4,1,6,5,5,Babolat Satelite Gravity 74
8,7,5,10,10,Yonex Nanoray Z-Speed
7,1,4,5,7,Babolat Satelite Gravity 74
